# s Q0 Q2 Q4 Q6 Q8 Q10
1.292519042304821064e-02 9.998679375901662336e-01 5.353015933454292645e-08 8.670016184158528513e-08 3.044984752431304252e-08 4.829674417935379705e-08 -1.512810765662868852e-10
1.310092778676621127e-02 9.998604301389391047e-01 5.500202587141099534e-08 8.908346324490520663e-08 3.128689106617844181e-08 4.962438158653726238e-08 -1.554905286995053289e-10
1.327905456371494472e-02 9.998528639245152227e-01 5.651444943353497406e-08 9.153241096825316276e-08 3.214699061351336867e-08 5.098858816199286926e-08 -1.598181312422163557e-10
1.345960324155364221e-02 9.998452384873681709e-01 5.806855109626986167e-08 9.404881856371249547e-08 3.303078312401124178e-08 5.239037418392388189e-08 -1.642672394937745915e-10
1.364260674966003006e-02 9.998375533643856228e-01 5.966548306721172392e-08 9.663454990263325855e-08 3.393892322896763248e-08 5.383077796256319791e-08 -1.688413056280025836e-10
1.382809846513614535e-02 9.998298080888401440e-01 6.130642955644656953e-08 9.929152058044279279e-08 3.487208372670797261e-08 5.531086662279464783e-08 -1.735438815539761562e-10
1.401611221889583273e-02 9.998220021903607702e-01 6.299260767157464236e-08 1.020216993613784198e-07 3.583095609003839551e-08 5.683173690901602991e-08 -1.783786218644595046e-10
1.420668230183496847e-02 9.998141351949066946e-01 6.472526833140036837e-08 1.048271096799755388e-07 3.681625096039261451e-08 5.839451603644820394e-08 -1.833493372631162435e-10
1.439984347108564690e-02 9.998062066247387358e-01 6.650569723714906795e-08 1.077098311018130546e-07 3.782869879386630759e-08 6.000036244561467402e-08 -1.884597961353144953e-10
1.459563095635533526e-02 9.997982159983871409e-01 6.833521580796211840e-08 1.106720009935530638e-07 3.886905024837096950e-08 6.165046682168644829e-08 -1.937140301143464064e-10
1.479408046635224960e-02 9.997901628306260502e-01 7.021518220604267904e-08 1.137158160705551627e-07 3.993807686018199003e-08 6.334605289735890055e-08 -1.991161358455458620e-10
1.499522819529809474e-02 9.997820466324436328e-01 7.214699235921333369e-08 1.168435340737372233e-07 4.103657159968724753e-08 6.508837840186619399e-08 -2.046703288030566764e-10
1.519911082952933937e-02 9.997738669110116660e-01 7.413208101844151632e-08 1.200574754760677247e-07 4.216534947078410446e-08 6.687873601167864683e-08 -2.103809468205168890e-10
1.540576555418826481e-02 9.997656231696566698e-01 7.617192284578378248e-08 1.233600252380496884e-07 4.332524812748538585e-08 6.871845432849471563e-08 -2.162524537314286571e-10
1.561523006000497225e-02 9.997573149078291532e-01 7.826803353251489382e-08 1.267536346118049566e-07 4.451712850759683051e-08 7.060889888431008086e-08 -2.222894431195658658e-10
1.582754255017161313e-02 9.997489416210755264e-01 8.042197094949296502e-08 1.302408229970682613e-07 4.574187548462882554e-08 7.255147317540745477e-08 -2.284966421862985219e-10
1.604274174731007072e-02 9.997405028010046824e-01 8.263533632971567417e-08 1.338241798490056955e-07 4.700039853791234798e-08 7.454761972521986315e-08 -2.348789157358102887e-10
1.626086690053439587e-02 9.997319979352607966e-01 8.490977548452422189e-08 1.375063666402034543e-07 4.829363244174295243e-08 7.659882117737400210e-08 -2.414412702834960619e-10
1.648195779260926142e-02 9.997234265074897985e-01 8.724698005431279209e-08 1.412901188782011867e-07 4.962253797403610952e-08 7.870660141967995683e-08 -2.481888582911741910e-10
1.670605474720572581e-02 9.997147879973099505e-01 8.964868879471262611e-08 1.451782481801260340e-07 5.098810264503990757e-08 8.087252673993375737e-08 -2.551269825331178060e-10
1.693319863625569049e-02 9.997060818802787630e-01 9.211668889908535532e-08 1.491736444057623870e-07 5.239134144657478363e-08 8.309820701427711472e-08 -2.622611005965804124e-10
1.716343088740631198e-02 9.996973076278642401e-01 9.465281735264545706e-08 1.532792778682008875e-07 5.383329759528455958e-08 8.538529695360601890e-08 -2.695968799126083039e-10
1.739679349157578769e-02 9.996884647074111285e-01 9.725896235614488124e-08 1.574982015230568340e-07 5.531504343455891110e-08 8.773549726390912967e-08 -2.771400009799596169e-10
1.763332901061187910e-02 9.996795525821082773e-01 9.993706472688204898e-08 1.618335533879240283e-07 5.683768108493216901e-08 9.015055608314056043e-08 -2.848964646374791409e-10
1.787308058505454600e-02 9.996705707109591055e-01 1.026891194032011118e-07 1.662885588616226388e-07 5.840234339168178183e-08 9.263227021400405727e-08 -2.928723955903577291e-10
1.811609194200414219e-02 9.996615185487456312e-01 1.055171769596481557e-07 1.708665331939396719e-07 6.001019475909109649e-08 9.518248651471313714e-08 -3.010740980440603449e-10
1.836240740309658462e-02 9.996523955459993838e-01 1.084233451717160098e-07 1.755708840084690659e-07 6.166243203660473256e-08 9.780310330450995466e-08 -3.095080611118461776e-10
1.861207189258694966e-02 9.996432011489647662e-01 1.114097906251854319e-07 1.804051138971819492e-07 6.336028543018088363e-08 1.004960718091482686e-07 -3.181809643911756189e-10
