# s Q0 Q2 Q4 Q6 Q8 Q10
1.670605474720572581e-02 9.998871495508955265e-01 5.532632191417306840e-08 2.104915354203848973e-07 1.387531690041437673e-07 1.526604822359916575e-07 1.110197416868107999e-08
1.693319863625569049e-02 9.998835842459665724e-01 5.685073585393102696e-08 2.162841669410646155e-07 1.425713479132456465e-07 1.568614632965243207e-07 1.140744062198235025e-08
1.716343088740631198e-02 9.998799843336142468e-01 5.841728447061954978e-08 2.222366137937703301e-07 1.464948579576089427e-07 1.611783401446152635e-07 1.172133244980408273e-08
1.739679349157578769e-02 9.998763494780510408e-01 6.002713778552040160e-08 2.283533016638019993e-07 1.505266156202236115e-07 1.656143219052830222e-07 1.204388287452771840e-08
1.763332901061187910e-02 9.998726793402337165e-01 6.168149848650458469e-08 2.346387793984105295e-07 1.546696184942616566e-07 1.701727070502626642e-07 1.237533160990256768e-08
1.787308058505454600e-02 9.998689735778322207e-01 6.338160290495207110e-08 2.410977225391081517e-07 1.589269476552202425e-07 1.748568858903876885e-07 1.271592504045865157e-08
1.811609194200414219e-02 9.998652318451978216e-01 6.512872195176118029e-08 2.477349368577829805e-07 1.633017699784850471e-07 1.796703431558801552e-07 1.306591640918483898e-08
1.836240740309658462e-02 9.998614537933303570e-01 6.692416209401037657e-08 2.545553620125823915e-07 1.677973405471572041e-07 1.846166606464044344e-07 1.342556600988778406e-08
1.861207189258694966e-02 9.998576390698472593e-01 6.876926635962530516e-08 2.615640753077111676e-07 1.724170051282871562e-07 1.896995199564234806e-07 1.379514138501127143e-08
1.886513094554299538e-02 9.998537873189492498e-01 7.066541537071417454e-08 2.687662955595550975e-07 1.771642027191019901e-07 1.949227052776044007e-07 1.417491752904219522e-08
1.912163071615007037e-02 9.998498981813878084e-01 7.261402840663293638e-08 2.761673870730475009e-07 1.820424681658031658e-07 2.002901062811115636e-07 1.456517709770898625e-08
1.938161798612894268e-02 9.998459712944327560e-01 7.461656449746107916e-08 2.837728637307447621e-07 1.870554348565565779e-07 2.058057210815719765e-07 1.496621062310140166e-08
1.964514017326809622e-02 9.998420062918366158e-01 7.667452354885064860e-08 2.915883931981443260e-07 1.922068374910004483e-07 2.114736592852742235e-07 1.537831673489728808e-08
1.991224534007201771e-02 9.998380028038031941e-01 7.878944749916458762e-08 2.996198012485942687e-07 1.975005149284716182e-07 2.172981451250251215e-07 1.580180238787165422e-08
2.018298220252708053e-02 9.998339604569493888e-01 8.096292149647202992e-08 3.078730761927274756e-07 2.029404130936160984e-07 2.232835206877754358e-07 1.623698309650918331e-08
2.045740013898661794e-02 9.998298788742753240e-01 8.319657517682333630e-08 3.163543735278119364e-07 2.085305880838427265e-07 2.294342492164517439e-07 1.668418317310485555e-08
2.073554919917678166e-02 9.998257576751253817e-01 8.549208384340570616e-08 3.250700205300287011e-07 2.142752091250242816e-07 2.357549185407232311e-07 1.714373597899275547e-08
2.101748011332488231e-02 9.998215964751548945e-01 8.785116981640000196e-08 3.340265211686067389e-07 2.201785618532308972e-07 2.422502445706929220e-07 1.761598417655376602e-08
2.130324430141180420e-02 9.998173948862939531e-01 9.027560375274097126e-08 3.432305610632935382e-07 2.262450515678883674e-07 2.489250749071318582e-07 1.810127999156128306e-08
2.159289388255025699e-02 9.998131525167104350e-01 9.276720601794056044e-08 3.526890126033306956e-07 2.324792066026533073e-07 2.557843925517055682e-07 1.859998548239599329e-08
2.188648168449050871e-02 9.998088689707753662e-01 9.532784809722820834e-08 3.624089402116349342e-07 2.388856817918521852e-07 2.628333197224091494e-07 1.911247281688532173e-08
2.218406125325540421e-02 9.998045438490249515e-01 9.795945404756370879e-08 3.723976057599092760e-07 2.454692620362533907e-07 2.700771217783586187e-07 1.963912455706800078e-08
2.248568686290629282e-02 9.998001767481236035e-01 1.006640019913828042e-07 3.826624741377603677e-07 2.522348659701921152e-07 2.775212112561650095e-07 2.018033395204458446e-08
2.279141352544189481e-02 9.997957672608276392e-01 1.034435256534574577e-07 3.932112189808766827e-07 2.591875497333720145e-07 2.851711520215505317e-07 2.073650523917861903e-08
2.310129700083160542e-02 9.997913149759448670e-01 1.063001159288289065e-07 4.040517285446028939e-07 2.663325108269308728e-07 2.930326635433358445e-07 2.130805395454323768e-08
