# s Q0 Q2 Q4 Q6 Q8 Q10
1.739679349157578769e-02 9.999232859326941947e-01 5.285576195711340222e-08 1.156158345994999177e-07 4.837791997231449565e-08 1.704840353159556782e-07 -4.767442902973444480e-08
1.763332901061187910e-02 9.999209765616182688e-01 5.431260965422008706e-08 1.187984724490478277e-07 4.970970152130554106e-08 1.751763080409815835e-07 -4.898666063656289998e-08
1.787308058505454600e-02 9.999186430936022330e-01 5.580974518804830520e-08 1.220689559834654456e-07 5.107824422470782958e-08 1.799980631983915127e-07 -5.033510630052330709e-08
1.811609194200414219e-02 9.999162852772660592e-01 5.734828811187147704e-08 1.254297194146242079e-07 5.248456681776520980e-08 1.849528874534251166e-07 -5.172076928655962327e-08
1.836240740309658462e-02 9.999139028586111477e-01 5.892938930990725915e-08 1.288832647906005499e-07 5.392971642898386216e-08 1.900444673698707049e-07 -5.314468080891344144e-08
1.861207189258694966e-02 9.999114955809877969e-01 6.055423188297998492e-08 1.324321639014967025e-07 5.541476937796247201e-08 1.952765922144240459e-07 -5.460790081595003720e-08
1.886513094554299538e-02 9.999090631850715560e-01 6.222403205947187611e-08 1.360790602391919032e-07 5.694083199580479753e-08 2.006531568403116881e-07 -5.611151879717708925e-08
1.912163071615007037e-02 9.999066054088344702e-01 6.394004013249915535e-08 1.398266710130129371e-07 5.850904146894776852e-08 2.061781646530992691e-07 -5.765665461327363210e-08
1.938161798612894268e-02 9.999041219875156594e-01 6.570354142391444000e-08 1.436777892225753241e-07 6.012056670692905245e-08 2.118557306605191655e-07 -5.924445934964369459e-08
1.964514017326809622e-02 9.999016126535935634e-01 6.751585727598582487e-08 1.476352857895905474e-07 6.177660923484663011e-08 2.176900846089510964e-07 -6.087611619423240306e-08
1.991224534007201771e-02 9.998990771367584074e-01 6.937834607156074347e-08 1.517021117503384682e-07 6.347840411122165046e-08 2.236855742090510387e-07 -6.255284134030321239e-08
2.018298220252708053e-02 9.998965151638811166e-01 7.129240426201444574e-08 1.558813005233520858e-07 6.522722083775989161e-08 2.298466684812519004e-07 -6.427588495953209340e-08
2.045740013898661794e-02 9.998939264589846720e-01 7.325946753321577122e-08 1.601759701777228795e-07 6.702436446735830545e-08 2.361779610553956667e-07 -6.604653197849849756e-08
2.073554919917678166e-02 9.998913107432164660e-01 7.528101178671747588e-08 1.645893258943426557e-07 6.887117639693493691e-08 2.426841738474118324e-07 -6.786610332827240653e-08
2.101748011332488231e-02 9.998886677348137741e-01 7.735855436887609361e-08 1.691246623685394218e-07 7.076903553168854780e-08 2.493701605563125127e-07 -6.973595677617025933e-08
2.130324430141180420e-02 9.998859971490787757e-01 7.949365522475719107e-08 1.737853663456481739e-07 7.271935930704127364e-08 2.562409104032777752e-07 -7.165748800905981253e-08
2.159289388255025699e-02 9.998832986983443583e-01 8.168791810770893819e-08 1.785749192163325521e-07 7.472360477520076231e-08 2.633015519491587535e-07 -7.363213170187298619e-08
2.188648168449050871e-02 9.998805720919439199e-01 8.394299182362742160e-08 1.834968996855796757e-07 7.678326972257555391e-08 2.705573570202038566e-07 -7.566136261642483387e-08
2.218406125325540421e-02 9.998778170361818374e-01 8.626057151128606686e-08 1.885549865182754909e-07 7.889989381926092802e-08 2.780137447462723050e-07 -7.774669673173413128e-08
2.248568686290629282e-02 9.998750332342983826e-01 8.864239995949088988e-08 1.937529613629239903e-07 8.107505980125094086e-08 2.856762857138258177e-07 -7.988969240648694615e-08
2.279141352544189481e-02 9.998722203864420788e-01 9.109026896228080241e-08 1.990947116560762590e-07 8.331039468645120637e-08 2.935507062374601263e-07 -8.209195157469787776e-08
2.310129700083160542e-02 9.998693781896350607e-01 9.360602069181810795e-08 2.045842336227302308e-07 8.560757099128695612e-08 3.016428927817507964e-07 -8.435512102021833780e-08
2.341539380718529045e-02 9.998665063377397688e-01 9.619154921944381394e-08 2.102256352986044641e-07 8.796830815445980922e-08 3.099588963683880453e-07 -8.668089346337333373e-08
2.373376123106136701e-02 9.998636045214288615e-01 9.884880186236115327e-08 2.160231397671160797e-07 9.039437365464823175e-08 3.185049373922746315e-07 -8.907100912963854829e-08
2.405645733791497709e-02 9.998606724281481339e-01 1.015797807889632235e-07 2.219810883601617006e-07 9.288758450902571102e-08 3.272874102907868767e-07 -9.152725690969173157e-08
2.438354098268829054e-02 9.998577097420870974e-01 1.043865445602514345e-07 2.281039440154873598e-07 9.544980863937243356e-08 3.363128884898062971e-07 -9.405147578073167040e-08
2.471507182054475185e-02 9.998547161441423414e-01 1.072712097380266348e-07 2.343962947169793077e-07 9.808296631251455418e-08 3.455881294621239727e-07 -9.664555622252229981e-08
2.505111031774929012e-02 9.998516913118838945e-01 1.102359525399007261e-07 2.408628570339891971e-07 1.007890316222414112e-07 3.551200799312421454e-07 -9.931144167416116585e-08
2.539171776269645922e-02 9.998486349195205847e-01 1.132830105421154784e-07 2.475084797617058780e-07 1.035700340135459870e-07 3.649158812235155324e-07 -1.020511300323988648e-07
2.573695627708853448e-02 9.998455466378656231e-01 1.164146844320636638e-07 2.543381476665664250e-07 1.064280598508590422e-07 3.749828747744869937e-07 -1.048666751931486790e-07
2.608688882726556413e-02 9.998424261342997443e-01 1.196333397898295124e-07 2.613569853512024395e-07 1.093652539967530532e-07 3.853286078200568531e-07 -1.077601886815201026e-07
2.644157923568950935e-02 9.998392730727380107e-01 1.229414090304538688e-07 2.685702611674599714e-07 1.123838216087723282e-07 3.959608391113361607e-07 -1.107338411047425952e-07
2.680109219258448860e-02 9.998360871135907324e-01 1.263413931839681735e-07 2.759833913693562135e-07 1.154860296407807210e-07 4.068875450754191792e-07 -1.137898640974897052e-07
2.716549326773531198e-02 9.998328679137288288e-01 1.298358639471114299e-07 2.836019442569753265e-07 1.186742087364964790e-07 4.181169258690749188e-07 -1.169305518697215874e-07
2.753484892244643586e-02 9.998296151264480791e-01 1.334274656843079525e-07 2.914316445043165257e-07 1.219507550020885343e-07 4.296574117492859565e-07 -1.201582630270307644e-07
2.790922652166349938e-02 9.998263284014281549e-01 1.371189175091277233e-07 2.994783775985484945e-07 1.253181318650355569e-07 4.415176695978800194e-07 -1.234754223974082789e-07
2.828869434625969417e-02 9.998230073846983146e-01 1.409130154264641358e-07 3.077481944071226270e-07 1.287788719865433234e-07 4.537066096337697301e-07 -1.268845229105694188e-07
2.867332160548916389e-02 9.998196517185993226e-01 1.448126345373939755e-07 3.162473158768312394e-07 1.323355792292322976e-07 4.662333923187815735e-07 -1.303881275315152127e-07
2.906317844960974034e-02 9.998162610417420382e-01 1.488207312865452208e-07 3.249821378803567176e-07 1.359909306470092410e-07 4.791074354892508556e-07 -1.339888712940940792e-07
2.945833598267730280e-02 9.998128349889724431e-01 1.529403458839039730e-07 3.339592361392731164e-07 1.397476787049596197e-07 4.923384215528405803e-07 -1.376894631691017056e-07
2.985886627551409891e-02 9.998093731913296756e-01 1.571746045790783582e-07 3.431853714174248589e-07 1.436086532165124583e-07 5.059363051758511134e-07 -1.414926884372777034e-07
3.026484237885337242e-02 9.998058752760077272e-01 1.615267222216484699e-07 3.526674947349893441e-07 1.475767636852610752e-07 5.199113209069775471e-07 -1.454014106770278210e-07
3.067633833666272639e-02 9.998023408663148093e-01 1.660000047860107536e-07 3.624127527979765621e-07 1.516550015390385269e-07 5.342739911639938412e-07 -1.494185740375706089e-07
3.109342919964865060e-02 9.997987695816331621e-01 1.705978519925786108e-07 3.724284935719369150e-07 1.558464424640046683e-07 5.490351344225405086e-07 -1.535472055319673107e-07
3.151619103894462426e-02 9.997951610373790876e-01 1.753237600056527456e-07 3.827222720164235568e-07 1.601542488060786054e-07 5.642058736406495108e-07 -1.577904173962094443e-07
3.194470095998537540e-02 9.997915148449595391e-01 1.801813241889463438e-07 3.933018559982130424e-07 1.645816720076609752e-07 5.797976449547867287e-07 -1.621514095611366515e-07
3.237903711656973244e-02 9.997878306117321534e-01 1.851742420506811232e-07 4.041752323121352664e-07 1.691320552874347243e-07 5.958222064867009553e-07 -1.666334719716766994e-07
3.281927872511473943e-02 9.997841079409635068e-01 1.903063160565179740e-07 4.153506130038883813e-07 1.738088360506891569e-07 6.122916476869850440e-07 -1.712399874239477682e-07
3.326550607910352259e-02 9.997803464317840394e-01 1.955814567451617465e-07 4.268364417477036001e-07 1.786155487186191965e-07 6.292183986650718252e-07 -1.759744340311054560e-07
3.371780056372962464e-02 9.997765456791477545e-01 2.010036858250677550e-07 4.386414004735679270e-07 1.835558274641823009e-07 6.466152399320511168e-07 -1.808403879886099757e-07
3.417624467074045075e-02 9.997727052737872544e-01 2.065771393843188184e-07 4.507744161731283833e-07 1.886334090624185664e-07 6.644953123959922330e-07 -1.858415263735155416e-07
3.464092201348251826e-02 9.997688248021702195e-01 2.123060711954800782e-07 4.632446679039927363e-07 1.938521358238945162e-07 6.828721276480584089e-07 -1.909816300252599687e-07
3.511191734215130672e-02 9.997649038464554438e-01 2.181948560958730750e-07 4.760615940091411278e-07 1.992159585786752891e-07 7.017595785732689438e-07 -1.962645865541903090e-07
3.558931655924840037e-02 9.997609419844464274e-01 2.242479935764874327e-07 4.892348994830295154e-07 2.047289399197609400e-07 7.211719501292079655e-07 -2.016943932134405523e-07
3.607320673524882365e-02 9.997569387895485216e-01 2.304701112581487001e-07 5.027745636794352267e-07 2.103952571937111459e-07 7.411239307195538241e-07 -2.072751603049743512e-07
3.656367612448138682e-02 9.997528938307214119e-01 2.368659686903233168e-07 5.166908481149654613e-07 2.162192059273566461e-07 7.616306236136916308e-07 -2.130111142311075041e-07
3.706081418122499083e-02 9.997488066724328215e-01 2.434404611515452515e-07 5.309943045640358127e-07 2.222052031786387642e-07 7.827075588403892787e-07 -2.189066008626343355e-07
