# k P0 P2 modes
3.7860e-03      9.5469e+03      2.4210e+03      2.2300e+02     
8.0557e-03      5.2466e+04      2.7157e+04      1.5160e+03     
1.2839e-02      3.7934e+04      9.7121e+03      4.1300e+03     
1.7758e-02      4.4781e+04      1.5794e+04      8.0580e+03     
2.2686e-02      4.1563e+04      1.2324e+04      1.3118e+04     
2.7645e-02      3.7798e+04      3.2853e+04      1.9784e+04     
3.2626e-02      3.1630e+04      2.2841e+04      2.7482e+04     
3.7615e-02      2.6728e+04      5.6134e+03      3.6794e+04     
4.2612e-02      2.4668e+04      3.4832e+02      4.7060e+04     
4.7588e-02      2.1345e+04      5.2157e+03      5.8466e+04     
5.2576e-02      2.1412e+04      8.4173e+03      7.1934e+04     
5.7577e-02      1.7301e+04      4.6127e+03      8.6096e+04     
6.2571e-02      1.5575e+04      6.6445e+03      1.0167e+05     
6.7564e-02      1.5623e+04      9.3524e+03      1.1849e+05     
7.2555e-02      1.0603e+04      6.7744e+03      1.3659e+05     
7.7552e-02      1.2077e+04      4.9955e+03      1.5654e+05     
8.2550e-02      1.0590e+04      1.3895e+03      1.7690e+05     
8.7547e-02      1.0094e+04      2.3892e+03      1.9940e+05     
9.2546e-02      8.4842e+03      -2.1767e+03     2.2258e+05     
9.7541e-02      7.6880e+03      2.2650e+03      2.4711e+05     
1.0254e-01      7.8345e+03      5.0982e+02      2.7352e+05     
1.0754e-01      7.6519e+03      3.5351e+02      3.0053e+05     
1.1254e-01      7.3417e+03      -1.1128e+03     3.2983e+05     
1.1754e-01      5.3571e+03      -1.2417e+03     3.5888e+05     
1.2253e-01      5.6244e+03      7.6714e+00      3.9021e+05     
1.2753e-01      5.7009e+03      1.1755e+03      4.2301e+05     
1.3253e-01      5.5377e+03      1.5079e+03      4.5655e+05     
1.3753e-01      5.3035e+03      9.7088e+02      4.9198e+05     
1.4253e-01      4.4509e+03      4.7333e+01      5.2826e+05     
1.4753e-01      3.3218e+03      -1.2972e+03     5.6575e+05     
1.5253e-01      3.8926e+03      -1.0440e+03     6.0512e+05     
1.5753e-01      3.4544e+03      -8.5277e+02     6.4543e+05     
1.6253e-01      2.1599e+03      2.6940e+02      6.8727e+05     
1.6753e-01      3.1756e+03      -2.0098e+02     7.2993e+05     
1.7252e-01      2.5956e+03      4.8071e+01      7.7319e+05     
1.7752e-01      2.0784e+03      8.1920e+01      8.2002e+05     
1.8252e-01      2.2294e+03      -7.8496e+02     8.6670e+05     
1.8752e-01      1.8265e+03      6.2373e+01      9.1408e+05     
1.9252e-01      2.2755e+03      -3.4738e+02     9.6442e+05     
1.9752e-01      1.8450e+03      3.5511e+02      1.0148e+06     
2.0252e-01      2.0627e+03      1.7424e+02      1.0664e+06     
2.0752e-01      1.5160e+03      -9.0719e+02     1.1195e+06     
2.1252e-01      1.3156e+03      -7.0831e+02     1.1755e+06     
2.1752e-01      1.0537e+03      -4.6252e+02     1.2297e+06     
2.2252e-01      1.6809e+03      -1.0757e+03     1.2877e+06     
2.2752e-01      1.9948e+03      1.4911e+02      1.3469e+06     
2.3252e-01      1.7689e+03      -1.3761e+01     1.4056e+06     
2.3752e-01      1.7543e+03      -3.6606e+02     1.4678e+06     
2.4252e-01      1.4281e+03      -4.6230e+01     1.5297e+06     
2.4752e-01      1.1528e+03      -5.7558e+01     1.5934e+06     
2.5252e-01      7.9416e+02      -2.2951e+02     1.6588e+06     
2.5752e-01      6.5312e+02      -5.7679e+02     1.7236e+06     
2.6251e-01      9.6752e+02      -4.8411e+02     1.7932e+06     
2.6752e-01      7.2056e+02      -7.8010e+02     1.8613e+06     
2.7251e-01      6.3499e+02      -1.7297e+03     1.9309e+06     
2.7751e-01      6.9733e+02      -2.9823e+02     2.0046e+06     
2.8252e-01      6.6581e+02      -6.5053e+02     2.0749e+06     
2.8751e-01      6.8991e+02      -1.7547e+03     2.1505e+06     
2.9251e-01      5.0580e+02      -1.0360e+03     2.2248e+06     
2.9751e-01      6.9265e+02      -3.9610e+02     2.3029e+06     
3.0251e-01      3.5566e+02      -7.9022e+01     2.3814e+06     
3.0751e-01      1.9991e+02      -3.9154e+02     2.4590e+06     
3.1251e-01      2.7534e+02      -9.1372e+02     2.5397e+06     
3.1751e-01      5.2388e+02      -1.0528e+02     2.6231e+06     
3.2251e-01      2.1330e+02      5.0313e+02      2.7040e+06     
3.2751e-01      5.0362e+02      -4.4321e+02     2.7905e+06     
3.3251e-01      5.3330e+02      -2.2879e+02     2.8762e+06     
3.3751e-01      2.3025e+02      -6.2585e+02     2.9630e+06     
3.4251e-01      2.4102e+02      1.7474e+01      3.0520e+06     
3.4751e-01      2.9530e+02      -2.1257e+02     3.1406e+06     
3.5251e-01      3.8867e+01      -1.4661e+02     3.2325e+06     
3.5751e-01      8.7422e+00      4.4492e+01      3.3242e+06     
3.6251e-01      3.1192e+02      2.5857e+02      3.4175e+06     
3.6751e-01      6.3619e+02      3.1743e+02      3.5140e+06     
3.7251e-01      1.6062e+02      -5.1442e+01     3.6094e+06     
3.7751e-01      1.3795e+02      8.9058e+01      3.7072e+06     
3.8251e-01      1.2028e+02      -5.6594e+02     3.8061e+06     
3.8751e-01      1.8878e+02      -6.5570e+02     3.9054e+06     
3.9251e-01      2.6435e+02      4.3253e+02      4.0072e+06     
3.9751e-01      7.6016e+01      -1.3598e+03     4.1094e+06     
4.0251e-01      3.5930e+01      2.9972e+02      4.2157e+06     
4.0751e-01      1.2534e+02      -2.0278e+02     4.3198e+06     
4.1251e-01      2.1175e+02      4.6644e+02      4.4253e+06     
4.1751e-01      1.2412e+02      2.3872e+01      4.5333e+06     
4.2251e-01      8.9227e+01      5.4211e+01      4.6377e+06     
