# s Q0 Q2 Q4 Q6 Q8 Q10
4.185052204466096354e-02 9.987486935026356205e-01 3.203510944873671187e-07 1.708872268769763475e-06 4.637543060047730932e-07 7.316948445410747519e-07 -8.785567286084002504e-08
4.241954270692029766e-02 9.987312959767434828e-01 3.292627467772762174e-07 1.756232032768613958e-06 4.766099848110303138e-07 7.519762263614122386e-07 -9.028992395706751181e-08
4.299630005914809039e-02 9.987137627279997210e-01 3.384241633885813897e-07 1.804911751542228809e-06 4.898240933800028021e-07 7.728229976580887224e-07 -9.279199531146301087e-08
4.358089929325677236e-02 9.986960927001679034e-01 3.478424183650562777e-07 1.854948504710224629e-06 5.034067060407186685e-07 7.942510465578760600e-07 -9.536379109293038251e-08
4.417344703140068524e-02 9.986782848288320302e-01 3.575247889892512007e-07 1.906380424719482495e-06 5.173681833505740260e-07 8.162767124861773623e-07 -9.800726951308793979e-08
4.477405134542242204e-02 9.986603380413348052e-01 3.674787617901905360e-07 1.959246726987559637e-06 5.317191804862112478e-07 8.389167992983609824e-07 -1.007244442980237962e-07
4.538282177656344923e-02 9.986422512567124654e-01 3.777120385857689631e-07 2.013587741330753639e-06 5.464706555215634385e-07 8.621885884639147370e-07 -1.035173864090114550e-07
4.599986935544285449e-02 9.986240233856329418e-01 3.882325428523265186e-07 2.069444943906396528e-06 5.616338783092428543e-07 8.861098529703296347e-07 -1.063882256063176666e-07
4.662530662230762735e-02 9.986056533303306892e-01 3.990484261975755413e-07 2.126860990334640343e-06 5.772204394057018694e-07 9.106988714342252494e-07 -1.093391521832947329e-07
4.725924764755833063e-02 9.985871399845429597e-01 4.101680751146346644e-07 2.185879749548194455e-06 5.932422594728039171e-07 9.359744428244714332e-07 -1.123724186277823760e-07
4.790180805255385421e-02 9.985684822334439659e-01 4.216001177938824413e-07 2.246546339037874301e-06 6.097115985969426560e-07 9.619559012859435789e-07 -1.154903415381461604e-07
4.855310503069897032e-02 9.985496789535793782e-01 4.333534312856117851e-07 2.308907160725677016e-06 6.266410662424797585e-07 9.886631317317398408e-07 -1.186953033881900967e-07
4.921325736881874968e-02 9.985307290128003777e-01 4.454371488047755599e-07 2.373009938094347855e-06 6.440436313163401024e-07 1.016116585725673477e-06 -1.219897544479565275e-07
4.988238546882332869e-02 9.985116312701977082e-01 4.578606672559822862e-07 2.438903754404728774e-06 6.619326325293589220e-07 1.044337297832067551e-06 -1.253762147601662568e-07
5.056061136966764208e-02 9.984923845760333982e-01 4.706336550575693321e-07 2.506639091835581369e-06 6.803217892408761833e-07 1.073346902611299917e-06 -1.288572760722219158e-07
5.124805876960934065e-02 9.984729877716745916e-01 4.837660600562658028e-07 2.576267872175549415e-06 6.992252122636352900e-07 1.103167651783247925e-06 -1.324356040308254100e-07
5.194485304876955006e-02 9.984534396895240471e-01 4.972681178267091896e-07 2.647843498304976233e-06 7.186574153473897027e-07 1.133822432229036126e-06 -1.361139402337512797e-07
5.265112129200034269e-02 9.984337391529524153e-01 5.111503601339635579e-07 2.721420897141994271e-06 7.386333267841560889e-07 1.165334784322542162e-06 -1.398951044664366155e-07
5.336699231206309957e-02 9.984138849762294043e-01 5.254236237385373600e-07 2.797056563609117863e-06 7.591683015698891326e-07 1.197728920999785882e-06 -1.437819968808067933e-07
5.409259667312202313e-02 9.983938759644539473e-01 5.400990593225284412e-07 2.874808606296921124e-06 7.802781335661093352e-07 1.231029747058581395e-06 -1.477776004441074142e-07
5.482806671455710268e-02 9.983737109134828147e-01 5.551881408320029429e-07 2.954736794066216077e-06 8.019790683809096504e-07 1.265262879360463874e-06 -1.518849832524721238e-07
5.557353657510084172e-02 9.983533886098625576e-01 5.707026750144192113e-07 3.036902604265835162e-06 8.242878164130271848e-07 1.300454667427532962e-06 -1.561073010370250173e-07
5.632914221730312559e-02 9.983329078307560112e-01 5.866548113322060148e-07 3.121369272130018932e-06 8.472215664958698180e-07 1.336632214845636623e-06 -1.604477996203296022e-07
5.709502145232878828e-02 9.983122673438711292e-01 6.030570520315236561e-07 3.208201842033189881e-06 8.707979995853791060e-07 1.373823400966845812e-06 -1.649098176510160868e-07
5.787131396509229836e-02 9.982914659073900410e-01 6.199222626629329383e-07 3.297467219851235471e-06 8.950353032132599811e-07 1.412056903586530130e-06 -1.694967892117099571e-07
5.865816133973419944e-02 9.982705022698947772e-01 6.372636828336479135e-07 3.389234227110033659e-06 9.199521861502628682e-07 1.451362222089234664e-06 -1.742122466282412309e-07
5.945570708544391236e-02 9.982493751702945506e-01 6.550949373735357465e-07 3.483573656489803716e-06 9.455678937176788362e-07 1.491769701476796273e-06 -1.790598232381821011e-07
6.026409666263371490e-02 9.982280833377518148e-01 6.734300476955294852e-07 3.580558329370737853e-06 9.719022231930160230e-07 1.533310556774918218e-06 -1.840432564469329422e-07
6.108347750946849924e-02 9.982066254916081016e-01 6.922834436476839530e-07 3.680263154670588898e-06 9.989755400318483166e-07 1.576016898494220349e-06 -1.891663906665579929e-07
6.191399906875630355e-02 9.981850003413083039e-01 7.116699756386805585e-07 3.782765189665174817e-06 1.026808794353297853e-06 1.619921758644355844e-06 -1.944331804658693874e-07
6.275581281520445365e-02 9.981632065863266234e-01 7.316049272194749109e-07 3.888143702361952017e-06 1.055423538127771883e-06 1.665059117715327564e-06 -1.998476936898871882e-07
6.360907228304628347e-02 9.981412429160883004e-01 7.521040279035526646e-07 3.996480236120440110e-06 1.084841942515206806e-06 1.711463932125810938e-06 -2.054141148773169217e-07
6.447393309404345074e-02 9.981191080098954505e-01 7.731834665101007294e-07 4.107858675816352782e-06 1.115086816042090925e-06 1.759172162784457386e-06 -2.111367485919280962e-07
