# s Q0 Q2 Q4 Q6 Q8 Q10
2.073554919917678166e-02 9.999234622521574467e-01 9.706064305801029555e-08 2.373123372481868799e-07 9.031490872692328708e-08 1.954274208512111839e-07 9.484413496413211074e-08
2.101748011332488231e-02 9.999215694375900298e-01 9.973811935198798001e-08 2.438509549341748725e-07 9.280333812986084043e-08 2.008114605097756207e-07 9.745696882085808086e-08
2.130324430141180420e-02 9.999196555786067364e-01 1.024897286781286807e-07 2.505702892547674357e-07 9.536054362172148114e-08 2.063442840912702179e-07 1.001420010471824231e-07
2.159289388255025699e-02 9.999177204412846853e-01 1.053175346959586464e-07 2.574753575260559982e-07 9.798843466324067091e-08 2.120300214345415307e-07 1.029012354527680764e-07
2.188648168449050871e-02 9.999157637891029626e-01 1.082236589580059964e-07 2.645713172665357043e-07 1.006889740725430457e-07 2.178729177435044494e-07 1.057367318135602097e-07
2.218406125325540421e-02 9.999137853829114242e-01 1.112102825517760340e-07 2.718634701508316216e-07 1.034641795298267649e-07 2.238773368388813551e-07 1.086506074489003852e-07
2.248568686290629282e-02 9.999117849809037173e-01 1.142796477888193423e-07 2.793572660758775987e-07 1.063161251248441471e-07 2.300477645023623111e-07 1.116450388434500611e-07
2.279141352544189481e-02 9.999097623385854172e-01 1.174340599424485818e-07 2.870583073432364153e-07 1.092469429485826157e-07 2.363888119162162584e-07 1.147222633153916601e-07
2.310129700083160542e-02 9.999077172087480481e-01 1.206758890383435494e-07 2.949723529866554849e-07 1.122588247078045632e-07 2.429052192042706415e-07 1.178845807330741651e-07
2.341539380718529045e-02 9.999056493414332225e-01 1.240075716832355555e-07 3.031053230954217493e-07 1.153540235000583206e-07 2.496018590593875763e-07 1.211343552770990419e-07
2.373376123106136701e-02 9.999035584839089941e-01 1.274316129733378363e-07 3.114633035180051447e-07 1.185348554092766842e-07 2.564837405035606558e-07 1.244740172596916879e-07
2.405645733791497709e-02 9.999014443806324426e-01 1.309505884307446890e-07 3.200525504422624736e-07 1.218037013785375392e-07 2.635560127264608230e-07 1.279060649891150491e-07
2.438354098268829054e-02 9.998993067732233619e-01 1.345671460094448310e-07 3.288794952366244626e-07 1.251630090200780426e-07 2.708239690485009845e-07 1.314330666909442942e-07
2.471507182054475185e-02 9.998971454004301762e-01 1.382840081564011912e-07 3.379507494034476650e-07 1.286152945004095935e-07 2.782930509940530766e-07 1.350576624834431106e-07
2.505111031774929012e-02 9.998949599980990754e-01 1.421039739324526940e-07 3.472731096748509622e-07 1.321631444796578537e-07 2.859688524817421310e-07 1.387825664096969921e-07
2.539171776269645922e-02 9.998927502991411531e-01 1.460299211942864048e-07 3.568535632539232491e-07 1.358092181062284586e-07 2.938571241341860681e-07 1.426105685276495927e-07
2.573695627708853448e-02 9.998905160335002096e-01 1.500648088398990033e-07 3.666992932070462431e-07 1.395562490689816079e-07 3.019637777118948508e-07 1.465445370603283146e-07
2.608688882726556413e-02 9.998882569281205557e-01 1.542116791213566917e-07 3.768176840353153164e-07 1.434070476851534566e-07 3.102948906763326323e-07 1.505874206079805679e-07
2.644157923568950935e-02 9.998859727069124848e-01 1.584736600116217463e-07 3.872163272794218355e-07 1.473645031630816291e-07 3.188567108703913775e-07 1.547422504206309009e-07
2.680109219258448860e-02 9.998836630907186329e-01 1.628539676665638922e-07 3.979030275410804694e-07 1.514315856993165479e-07 3.276556613612426051e-07 1.590121427423397084e-07
2.716549326773531198e-02 9.998813277972811164e-01 1.673559089315281534e-07 4.088858084200190128e-07 1.556113488677378947e-07 3.366983453936490026e-07 1.634003012160146045e-07
