# k P0 P2
# reduced chi2 = 0.6820
3.7538e-03      5.4651e+04      -9.8730e+03    
8.0504e-03      3.9737e+04      9.0657e+03     
1.2849e-02      3.8650e+04      1.3896e+04     
1.7752e-02      3.7332e+04      1.4819e+04     
2.2692e-02      3.4533e+04      1.4208e+04     
2.7648e-02      3.0918e+04      1.2846e+04     
3.2613e-02      2.7196e+04      1.1280e+04     
3.7611e-02      2.3835e+04      9.8298e+03     
4.2613e-02      2.1095e+04      8.6579e+03     
4.7605e-02      1.8997e+04      7.7761e+03     
5.2591e-02      1.7426e+04      7.1259e+03     
5.7568e-02      1.6210e+04      6.6174e+03     
6.2562e-02      1.5166e+04      6.1607e+03     
6.7567e-02      1.4152e+04      5.6914e+03     
7.2573e-02      1.3089e+04      5.1790e+03     
7.7565e-02      1.1966e+04      4.6294e+03     
8.2548e-02      1.0818e+04      4.0707e+03     
8.7544e-02      9.7076e+03      3.5382e+03     
9.2544e-02      8.7020e+03      3.0659e+03     
9.7542e-02      7.8477e+03      2.6726e+03     
1.0254e-01      7.1603e+03      2.3607e+03     
1.0754e-01      6.6279e+03      2.1192e+03     
1.1254e-01      6.2181e+03      1.9296e+03     
1.1753e-01      5.8883e+03      1.7710e+03     
1.2252e-01      5.5944e+03      1.6243e+03     
1.2753e-01      5.2997e+03      1.4761e+03     
1.3254e-01      4.9839e+03      1.3211e+03     
1.3753e-01      4.6429e+03      1.1612e+03     
1.4253e-01      4.2860e+03      1.0022e+03     
1.4752e-01      3.9308e+03      8.5183e+02     
1.5253e-01      3.5972e+03      7.1653e+02     
1.5752e-01      3.3009e+03      6.0004e+02     
1.6252e-01      3.0499e+03      5.0243e+02     
1.6752e-01      2.8443e+03      4.2136e+02     
1.7252e-01      2.6777e+03      3.5290e+02     
1.7752e-01      2.5394e+03      2.9292e+02     
1.8252e-01      2.4173e+03      2.3790e+02     
1.8752e-01      2.3004e+03      1.8546e+02     
1.9252e-01      2.1804e+03      1.3450e+02     
1.9752e-01      2.0536e+03      8.5213e+01     
2.0252e-01      1.9206e+03      3.8562e+01     
2.0752e-01      1.7858e+03      -4.2248e+00    
2.1252e-01      1.6545e+03      -4.2504e+01    
2.1752e-01      1.5318e+03      -7.6044e+01    
2.2252e-01      1.4215e+03      -1.0522e+02    
2.2752e-01      1.3249e+03      -1.3068e+02    
2.3252e-01      1.2417e+03      -1.5330e+02    
2.3752e-01      1.1698e+03      -1.7379e+02    
2.4252e-01      1.1062e+03      -1.9265e+02    
2.4752e-01      1.0476e+03      -2.1017e+02    
2.5252e-01      9.9091e+02      -2.2627e+02    
2.5752e-01      9.3428e+02      -2.4073e+02    
2.6252e-01      8.7688e+02      -2.5336e+02    
2.6752e-01      8.1890e+02      -2.6396e+02    
2.7252e-01      7.6143e+02      -2.7262e+02    
2.7752e-01      7.0573e+02      -2.7956e+02    
2.8252e-01      6.5317e+02      -2.8511e+02    
2.8752e-01      6.0486e+02      -2.8968e+02    
2.9251e-01      5.6118e+02      -2.9370e+02    
2.9751e-01      5.2179e+02      -2.9736e+02    
