# s Q0 Q2 Q4 Q6 Q8 Q10
1.439984347108564690e-02 9.992767425593473973e-01 6.516788829790607574e-08 2.469703358259254072e-07 5.859599426681849071e-08 3.499118074426334959e-08 1.022175518286537302e-07
1.459563095635533526e-02 9.992477999835438496e-01 6.696094495612669652e-08 2.537616688624563910e-07 6.020748184150971229e-08 3.595366362779122794e-08 1.050282187521131010e-07
1.479408046635224960e-02 9.992186950547417013e-01 6.880345806003709096e-08 2.607401601148018054e-07 6.186338681384931991e-08 3.694268233343322254e-08 1.079163360583944642e-07
1.499522819529809474e-02 9.991894268671286383e-01 7.069679668608460599e-08 2.679109838929091389e-07 6.356493748509908773e-08 3.795897095921124422e-08 1.108840447030564206e-07
1.519911082952933937e-02 9.991599945098931235e-01 7.264236801110797130e-08 2.752794582272564052e-07 6.531339628622624127e-08 3.900328401274163186e-08 1.139335450962447773e-07
1.540576555418826481e-02 9.991303970671988610e-01 7.464161838102016059e-08 2.828510488886673279e-07 6.711006073302345341e-08 4.007639698288854330e-08 1.170670987651149981e-07
1.561523006000497225e-02 9.991006336181585956e-01 7.669603440918421783e-08 2.906313735193245887e-07 6.895626440767276567e-08 4.117910692726520013e-08 1.202870300622208169e-07
1.582754255017161313e-02 9.990707032368051355e-01 7.880714410649658402e-08 2.986262058825644103e-07 7.085337796855440538e-08 4.231223307666121994e-08 1.235957279230029942e-07
1.604274174731007072e-02 9.990406049920647069e-01 8.097651804313979462e-08 3.068414802312417237e-07 7.280281018825387239e-08 4.347661745637073079e-08 1.269956476722911068e-07
1.626086690053439587e-02 9.990103379477299761e-01 8.320577054343647029e-08 3.152832958000365845e-07 7.480600902104378698e-08 4.467312552518606580e-08 1.304893128820353049e-07
1.648195779260926142e-02 9.989799011624317382e-01 8.549656091465144837e-08 3.239579214248396180e-07 7.686446270058865434e-08 4.590264683250673966e-08 1.340793172815667790e-07
1.670605474720572581e-02 9.989492936896113839e-01 8.785059471069705847e-08 3.328718002927732922e-07 7.897970086871874447e-08 4.716609569407181429e-08 1.377683267218539031e-07
1.693319863625569049e-02 9.989185145774926999e-01 9.026962503156627418e-08 3.420315548258975944e-07 8.115329573600043761e-08 4.846441188675315282e-08 1.415590811950141754e-07
1.716343088740631198e-02 9.988875628690547792e-01 9.275545382767918531e-08 3.514439917322933355e-07 8.338686322671732522e-08 4.979856133871316660e-08 1.454543969132197118e-07
1.739679349157578769e-02 9.988564376020029334e-01 9.530993340372488007e-08 3.611161070586147926e-07 8.568206440119692362e-08 5.116953696227562307e-08 1.494571684371452736e-07
1.763332901061187910e-02 9.988251378087398269e-01 9.793496763811106235e-08 3.710550916683291345e-07 8.804060642540106982e-08 5.257835926249616680e-08 1.535703708824857067e-07
1.787308058505454600e-02 9.987936625163384985e-01 1.006325135663397071e-07 3.812683365917102420e-07 9.046424406400467515e-08 5.402607721245332486e-08 1.577970621713365871e-07
