# s Q0 Q2 Q4 Q6 Q8 Q10
1.670605474720572581e-02 9.998833492413216062e-01 9.593962734305705983e-08 1.669116336189676568e-07 6.235770939146103930e-08 1.146656598339712059e-07 3.916967220603359730e-05
1.693319863625569049e-02 9.998796809990722068e-01 9.858090170605092995e-08 1.715049884143287691e-07 6.407373809659967171e-08 1.178210532059494573e-07 4.024749768909202170e-05
1.716343088740631198e-02 9.998759780898428540e-01 1.012950912194388080e-07 1.762250722138363010e-07 6.583710983457671319e-08 1.210634956996495048e-07 4.135505536345763985e-05
1.739679349157578769e-02 9.998722401861410702e-01 1.040842168809254190e-07 1.810753944381418193e-07 6.764913565522097232e-08 1.243953976466808899e-07 4.249316839877226358e-05
1.763332901061187910e-02 9.998684669573818518e-01 1.069503560422666223e-07 1.860595622673163843e-07 6.951116301333441804e-08 1.278192364635759410e-07 4.366268287568178552e-05
1.787308058505454600e-02 9.998646580698604680e-01 1.098956439797088220e-07 1.911812833184396979e-07 7.142457691712507237e-08 1.313375585500139813e-07 4.486446842840672309e-05
1.811609194200414219e-02 9.998608131867212645e-01 1.129222755262537767e-07 1.964443684806901323e-07 7.339080094999140438e-08 1.349529812200858294e-07 4.609941890538704298e-05
1.836240740309658462e-02 9.998569319679309064e-01 1.160325067469450184e-07 2.018527348145197883e-07 7.541129835333090849e-08 1.386681946925440344e-07 4.736845304869600240e-05
1.861207189258694966e-02 9.998530140702446278e-01 1.192286566619133520e-07 2.074104085332412541e-07 7.748757314012373233e-08 1.424859641376050795e-07 4.867251519275228756e-05
1.886513094554299538e-02 9.998490591471790312e-01 1.225131090182918137e-07 2.131215280689283145e-07 7.962117124000115447e-08 1.464091317816079600e-07 5.001257598277507397e-05
1.912163071615007037e-02 9.998450668489803350e-01 1.258883141128145145e-07 2.189903472257568250e-07 8.181368167696624267e-08 1.504406190716741922e-07 5.138963311371364158e-05
1.938161798612894268e-02 9.998410368225942868e-01 1.293567906662284086e-07 2.250212384227171162e-07 8.406673778048819250e-08 1.545834289016926114e-07 5.280471209010304738e-05
